match_id,cmp_id,homeTeamId,awayTeamId,startDate,courtId,referee_id,round,isDraw,last_match,is_bye,is_forfeited,is_cancel,homeTeamKits,awayTeamKits,homeTeamName,awayTeamName,total_goals,goal_difference,home_win,match_year,match_month,match_day,match_weekday,home_team_goals,away_team_goals,home_team_points,away_team_points,home_result,away_result,home_win_ratio,away_win_ratio,home_avg_goals_scored,away_avg_goals_scored,home_avg_goals_conceded,away_avg_goals_conceded,home_recent_form,away_recent_form,home_elo,away_elo,h2h_home_wins,h2h_away_wins,h2h_matches,home_last5_avg_goals,away_last5_avg_goals
97915,430,21,325,3/17/2023,11,1,9,0,0,0,0,0,0,0,Campbellfield FC,Roxburgh Park Gorillas,7,3,1,2023,3,17,4,5,2,3,0,W,L,0.625,0.25,5,2.125,3.5,5.125,0.6,0.2,1523.363752,1443.17668,1,0,1,3.8,2
97916,430,20,17,3/17/2023,11,1,9,0,0,0,0,0,0,0,Western United FC,Fitzroy FC,12,8,0,2023,3,17,4,2,10,0,3,L,W,0.25,0.875,3.125,4.5,4.125,1.375,0.4,0.8,1450.257961,1577.646358,0,1,1,4.2,4
97920,430,331,20,3/24/2023,11,1,10,0,0,0,0,0,0,0,Hume FC,Western United FC,4,2,1,2023,3,24,4,3,1,3,0,W,L,0.666666667,0.222222222,3,3,2.666666667,4.777777778,0.8,0.4,1545.703704,1439.874935,1,0,1,3.8,4.2
97919,430,18,21,3/24/2023,11,1,10,0,0,0,0,0,0,0,Moreland Blues FC,Campbellfield FC,7,3,1,2023,3,24,4,5,2,3,0,W,L,0.777777778,0.666666667,4.555555556,5,2.666666667,3.333333333,0.8,0.6,1565.735664,1535.735201,1,0,1,5.2,3.8
97918,430,17,22,3/24/2023,11,1,10,0,0,0,0,0,0,0,Fitzroy FC,FC Carlton Heart,8,6,1,2023,3,24,4,7,1,3,0,W,L,0.888888889,0.222222222,5.111111111,3.555555556,1.444444444,4.666666667,0.8,0.2,1588.029383,1429.325824,1,0,1,5.6,3
97917,430,325,19,3/24/2023,11,1,10,0,0,0,0,0,0,0,Roxburgh Park Gorillas,Altona Knights FC,7,5,1,2023,3,24,4,6,1,3,0,W,L,0.222222222,0.333333333,2.111111111,3.666666667,5.111111111,5.333333333,0.2,0.4,1430.805231,1464.790057,1,0,1,2.2,3.2
97921,430,325,17,3/31/2023,11,1,11,0,0,0,0,0,0,0,Roxburgh Park Gorillas,Fitzroy FC,10,10,0,2023,3,31,4,0,10,0,3,L,W,0.3,0.9,2.5,5.3,4.7,1.4,0.4,0.8,1448.365317,1597.190012,0,1,1,3.2,5.6
97922,430,19,22,3/31/2023,11,1,11,0,0,0,0,0,0,0,Altona Knights FC,FC Carlton Heart,7,1,0,2023,3,31,4,3,4,0,0,L,W,0.3,0.2,3.4,3.3,5.4,4.9,0.2,0,1447.229971,1420.165196,1,0,1,2.8,2.8
97923,430,18,331,3/31/2023,11,1,11,0,0,0,0,0,0,0,Moreland Blues FC,Hume FC,6,4,1,2023,3,31,4,5,1,3,0,W,L,0.8,0.7,4.6,3,2.6,2.5,0.8,1,1580.357516,1556.975443,0,1,1,5.4,3.8
97924,430,20,21,3/31/2023,11,1,11,0,0,0,0,0,0,0,Western United FC,Campbellfield FC,5,3,0,2023,3,31,4,1,4,0,3,L,W,0.2,0.6,2.8,4.7,4.6,3.5,0.4,0.6,1428.603196,1521.11335,0,1,1,4,4
97925,430,22,325,4/14/2023,11,1,12,0,0,0,0,0,0,0,FC Carlton Heart,Roxburgh Park Gorillas,7,3,0,2023,4,14,4,2,5,0,3,L,W,0.272727273,0.272727273,3.363636364,2.272727273,4.727272727,5.181818182,0.2,0.2,1437.40906,1438.828406,1,0,1,3,2.6
97926,430,20,18,4/14/2023,11,1,12,0,0,0,0,0,0,0,Western United FC,Moreland Blues FC,7,5,0,2023,4,14,4,1,6,0,3,L,W,0.181818182,0.818181818,2.636363636,4.636363636,4.545454545,2.454545455,0.2,0.8,1416.765541,1595.282354,0,1,1,2.2,5.6
97927,430,17,21,4/14/2023,11,1,12,0,0,0,0,0,0,0,Fitzroy FC,Campbellfield FC,7,1,1,2023,4,14,4,4,3,3,0,W,L,0.909090909,0.636363636,5.727272727,4.636363636,1.272727273,3.272727273,0.8,0.6,1606.726923,1532.951005,1,0,1,6.4,4
