match_id,cmp_id,homeTeamId,awayTeamId,startTime,endTime,startDate,startingTime,courtId,courtName,quaterFinal,semiFinals,final,referee_id,winningTeam,losingTeam,winningTeamGoals,losingTeamGoals,winningTeamPoints,losingTeamPoints,status,round,isDraw,last_match,is_bye,note,is_forfeited,is_cancel,homeTeamKits,awayTeamKits,homeTeamName,awayTeamName,competitionName,seasonName
97912,430,21,19,3/10/2023 22:30,3/10/2023 23:45,3/10/2023,22:30:00,11,Series Futsal Arena,,,,1,19,21,5,4,3,0,Completed,8,no,no,FALSE,NULL,FALSE,no,0,0,Campbellfield FC,Altona Knights FC,2023/1 Series Futsal Victoria Men,2023/1
97913,430,18,19,3/17/2023 18:45,3/17/2023 20:00,3/17/2023,18:45:00,11,Series Futsal Arena,,,,1,18,19,9,3,3,0,Completed,9,no,no,FALSE,NULL,FALSE,no,0,0,Moreland Blues FC,Altona Knights FC,2023/1 Series Futsal Victoria Men,2023/1
97914,430,22,331,3/17/2023 20:00,3/17/2023 21:15,3/17/2023,20:00:00,11,Series Futsal Arena,,,,1,331,22,6,3,3,0,Completed,9,no,no,FALSE,NULL,FALSE,no,0,0,FC Carlton Heart,Hume FC,2023/1 Series Futsal Victoria Men,2023/1
97915,430,21,325,3/17/2023 21:15,3/17/2023 22:30,3/17/2023,21:15:00,11,Series Futsal Arena,,,,1,21,325,5,2,3,0,Completed,9,no,no,FALSE,NULL,FALSE,no,0,0,Campbellfield FC,Roxburgh Park Gorillas,2023/1 Series Futsal Victoria Men,2023/1
97916,430,20,17,3/17/2023 22:30,3/17/2023 23:45,3/17/2023,22:30:00,11,Series Futsal Arena,,,,1,17,20,10,2,3,0,Completed,9,no,no,FALSE,NULL,FALSE,no,0,0,Western United FC,Fitzroy FC,2023/1 Series Futsal Victoria Men,2023/1
97917,430,325,19,3/24/2023 18:45,3/24/2023 20:00,3/24/2023,18:45:00,11,Series Futsal Arena,,,,1,325,19,6,1,3,0,Completed,10,no,no,FALSE,NULL,FALSE,no,0,0,Roxburgh Park Gorillas,Altona Knights FC,2023/1 Series Futsal Victoria Men,2023/1
97918,430,17,22,3/24/2023 20:00,3/24/2023 21:15,3/24/2023,20:00:00,11,Series Futsal Arena,,,,1,17,22,7,1,3,0,Completed,10,no,no,FALSE,NULL,FALSE,no,0,0,Fitzroy FC,FC Carlton Heart,2023/1 Series Futsal Victoria Men,2023/1
97919,430,18,21,3/24/2023 21:15,3/24/2023 22:30,3/24/2023,21:15:00,11,Series Futsal Arena,,,,1,18,21,5,2,3,0,Completed,10,no,no,FALSE,NULL,FALSE,no,0,0,Moreland Blues FC,Campbellfield FC,2023/1 Series Futsal Victoria Men,2023/1
97920,430,331,20,3/24/2023 22:30,3/24/2023 23:45,3/24/2023,22:30:00,11,Series Futsal Arena,,,,1,331,20,3,1,3,0,Completed,10,no,no,FALSE,NULL,FALSE,no,0,0,Hume FC,Western United FC,2023/1 Series Futsal Victoria Men,2023/1
97921,430,325,17,3/31/2023 18:45,3/31/2023 20:00,3/31/2023,18:45:00,11,Series Futsal Arena,,,,1,17,325,10,0,3,0,Completed,11,no,no,FALSE,NULL,FALSE,no,0,0,Roxburgh Park Gorillas,Fitzroy FC,2023/1 Series Futsal Victoria Men,2023/1
